OV-LWA antenna beams										
2015NOV09 GRASP										
3mx3m ground screen										
30 dia x 5 m thick lossy ground										
										
										
theta[deg]	phi[deg]	freq[MHz]	co[real]	co[imag]	cx[real]	cx[imag]	theta[real]	theta[imag]	phi[real]	phi[imag]
70	40	20	-3.2201E-01	3.7797E-01	1.0399E-01	-1.7626E-02	-1.7983E-01	2.7821E-01	2.8664E-01	-2.5646E-01
75	40	20	-2.4366E-01	3.5274E-01	9.8055E-02	-2.2876E-02	-1.2363E-01	2.5551E-01	2.3174E-01	-2.4426E-01
80	40	20	-1.6951E-01	3.2862E-01	9.0129E-02	-2.4960E-02	-7.1919E-02	2.3570E-01	1.7800E-01	-2.3036E-01
85	40	20	-1.0093E-01	3.0458E-01	8.0024E-02	-2.3883E-02	-2.5878E-02	2.1797E-01	1.2618E-01	-2.1408E-01
90	40	20	-3.8887E-02	2.7963E-01	6.7951E-02	-1.9763E-02	1.3889E-02	2.0150E-01	7.7050E-02	-1.9488E-01
0	45	20	-1.0425E+00	6.4191E-01	-6.4996E-06	5.2622E-06	-7.3714E-01	4.5391E-01	7.3713E-01	-4.5390E-01
5	45	20	-1.0372E+00	6.4211E-01	6.7753E-03	2.5535E-03	-7.2864E-01	4.5585E-01	7.3822E-01	-4.5224E-01
10	45	20	-1.0221E+00	6.4219E-01	2.5372E-02	9.6978E-03	-7.0478E-01	4.6095E-01	7.4066E-01	-4.4724E-01
15	45	20	-9.9839E-01	6.4077E-01	5.1180E-02	2.0006E-02	-6.6978E-01	4.6724E-01	7.4216E-01	-4.3895E-01
20	45	20	-9.6779E-01	6.3603E-01	7.8343E-02	3.1367E-02	-6.2893E-01	4.7192E-01	7.3973E-01	-4.2756E-01
25	45	20	-9.3145E-01	6.2626E-01	1.0164E-01	4.1402E-02	-5.8677E-01	4.7211E-01	7.3050E-01	-4.1356E-01
30	45	20	-8.8975E-01	6.1041E-01	1.1786E-01	4.7982E-02	-5.4581E-01	4.6555E-01	7.1248E-01	-3.9770E-01
35	45	20	-8.4225E-01	5.8839E-01	1.2630E-01	4.9701E-02	-5.0625E-01	4.5120E-01	6.8487E-01	-3.8091E-01
